Index@CheckId@Status@Category@DesignCategory@Severity@FileId@Module@ArgList@ClusterInfo@OldRtlId
d300306b@0@uninspected@Rtl Design Style@Rtl Design Style@Info@0@"DSP48A1"@"0:DSP48A1#1:E:/Material/DigitalDesign/projects/code/DSP.v#rtl_id:fa5870fb_00200"@"0"@""
bfd8e066@0@uninspected@Rtl Design Style@Rtl Design Style@Info@0@"DSP48A1"@"0:DSP48A1#1:E:/Material/DigitalDesign/projects/code/DSP.v#rtl_id:b0df09d3_00200"@"0"@""
cb8f3bb4@1@uninspected@Nomenclature Style@Nomenclature Style@Info@0,1@"DSP48A1"@"0:RSTTYPE#1:2#2:DSP48A1#3:E:/Material/DigitalDesign/projects/code/DSP.v#5:REG_MUX_pair#6:E:/Material/DigitalDesign/projects/code/reg_mux_pair.v#"@""@""
654af206@2@uninspected@Rtl Design Style@Rtl Design Style@Info@0@"DSP48A1"@"0:DSP48A1#1:E:/Material/DigitalDesign/projects/code/DSP.v#"@"3"@""
654af206_1@2@uninspected@Rtl Design Style@Rtl Design Style@Info@0@"DSP48A1"@"0:DSP48A1#1:E:/Material/DigitalDesign/projects/code/DSP.v#"@"-1"@""
654af206_2@2@uninspected@Rtl Design Style@Rtl Design Style@Info@0@"DSP48A1"@"0:DSP48A1#1:E:/Material/DigitalDesign/projects/code/DSP.v#"@"-1"@""
654af206_3@2@uninspected@Rtl Design Style@Rtl Design Style@Info@0@"DSP48A1"@"0:DSP48A1#1:E:/Material/DigitalDesign/projects/code/DSP.v#"@"-1"@""
87af6b2@2@uninspected@Rtl Design Style@Rtl Design Style@Info@1@"REG_MUX_pair"@"0:REG_MUX_pair#1:E:/Material/DigitalDesign/projects/code/reg_mux_pair.v#"@"0"@""
3aeecbfb@3@uninspected@Connectivity@Implementation@Warning@1@"REG_MUX_pair"@"0:CYI_BLOCK.BLOCK_OUT#1:REG_MUX_pair#2:E:/Material/DigitalDesign/projects/code/reg_mux_pair.v#"@"0"@""
27af9df2@3@uninspected@Connectivity@Implementation@Warning@1@"REG_MUX_pair"@"0:C_BLOCK.BLOCK_OUT#1:REG_MUX_pair#2:E:/Material/DigitalDesign/projects/code/reg_mux_pair.v#"@"0"@""
e2b1ab88@3@uninspected@Connectivity@Implementation@Warning@1@"REG_MUX_pair"@"0:D_BLOCK.BLOCK_OUT#1:REG_MUX_pair#2:E:/Material/DigitalDesign/projects/code/reg_mux_pair.v#"@"0"@""
d9eebb6c@3@uninspected@Connectivity@Implementation@Warning@1@"REG_MUX_pair"@"0:MUL_BLOCK.BLOCK_OUT#1:REG_MUX_pair#2:E:/Material/DigitalDesign/projects/code/reg_mux_pair.v#"@"0"@""
889e73ff@3@uninspected@Connectivity@Implementation@Warning@1@"REG_MUX_pair"@"0:OPMODE_BLOCK.BLOCK_OUT#1:REG_MUX_pair#2:E:/Material/DigitalDesign/projects/code/reg_mux_pair.v#"@"0"@""
adc6eaf4@4@uninspected@Rtl Design Style@Rtl Design Style@Info@0@""@"0:125#1:110#2:E:/Material/DigitalDesign/projects/code/DSP.v#"@"1"@""
5053d3d2@4@uninspected@Rtl Design Style@Rtl Design Style@Info@0@""@"0:136#1:110#2:E:/Material/DigitalDesign/projects/code/DSP.v#"@"0"@""
74fd26fb@4@uninspected@Rtl Design Style@Rtl Design Style@Info@0@""@"0:127#1:110#2:E:/Material/DigitalDesign/projects/code/DSP.v#"@"0"@""
adc6eaf4_1@4@uninspected@Rtl Design Style@Rtl Design Style@Info@0@""@"0:125#1:110#2:E:/Material/DigitalDesign/projects/code/DSP.v#"@"-1"@""
7d1624b3@4@uninspected@Rtl Design Style@Rtl Design Style@Info@0@""@"0:149#1:110#2:E:/Material/DigitalDesign/projects/code/DSP.v#"@"0"@""
f705b125@4@uninspected@Rtl Design Style@Rtl Design Style@Info@0@""@"0:142#1:110#2:E:/Material/DigitalDesign/projects/code/DSP.v#"@"0"@""
3263bd3c@4@uninspected@Rtl Design Style@Rtl Design Style@Info@0@""@"0:138#1:110#2:E:/Material/DigitalDesign/projects/code/DSP.v#"@"0"@""
f12dc2f8@4@uninspected@Rtl Design Style@Rtl Design Style@Info@0@""@"0:111#1:110#2:E:/Material/DigitalDesign/projects/code/DSP.v#"@"0"@""
b87028aa@4@uninspected@Rtl Design Style@Rtl Design Style@Info@0@""@"0:133#1:110#2:E:/Material/DigitalDesign/projects/code/DSP.v#"@"0"@""
3b88bf74@4@uninspected@Rtl Design Style@Rtl Design Style@Info@0@""@"0:156#1:110#2:E:/Material/DigitalDesign/projects/code/DSP.v#"@"0"@""
baadda53@4@uninspected@Rtl Design Style@Rtl Design Style@Info@0@""@"0:157#1:110#2:E:/Material/DigitalDesign/projects/code/DSP.v#"@"0"@""
d176b6f5@4@uninspected@Rtl Design Style@Rtl Design Style@Info@0@""@"0:137#1:110#2:E:/Material/DigitalDesign/projects/code/DSP.v#"@"0"@""

